"lon","lat","heat_flow_mW_m2","name","reference","id"
"-58.71","15.5283","80","HF2F","Blackwell_Richards_2004","R24-018894"
"-58.71","15.5283","70","HF2D","Blackwell_Richards_2004","R24-018893"
"-58.71","15.5283","73","HF2C","Blackwell_Richards_2004","R24-018892"
"-58.7072","15.5283","71","HF2E","Foucher_etal._1990","R24-035495"
"-58.7","15.5283","83","ODP676 A","Pribnow_etal._2000a","R24-073275"
"-58.71","15.53","81","HF2G","Blackwell_Richards_2004","R24-018895"
"-58.71","15.53","106","HF1A","Blackwell_Richards_2004","R24-018881"
"-58.71","15.53","73","HF8B","Blackwell_Richards_2004","R24-018949"
"-58.71","15.53","99","HF1B","Blackwell_Richards_2004","R24-018882"
"-58.704","15.53","82","HF2H","Foucher_etal._1990","R24-035496"
"-58.7","15.53","82","HF2H","Blackwell_Richards_2004","R24-018896"
"-58.7","15.53","62","HF8E","Blackwell_Richards_2004","R24-018952"
"-58.7141","15.5301","106","HF1A","Foucher_etal._1990","R24-035487"
"-58.7121","15.5302","99","HF1B","Foucher_etal._1990","R24-035488"
"-58.701","15.5305","62","HF8E","Foucher_etal._1990","R24-035528"
"-58.7062","15.5306","89","HF8A","Foucher_etal._1990","R24-035525"
"-58.7106","15.5311","73","HF1C","Foucher_etal._1990","R24-035489"
"-58.7044","15.5311","113","HF8C","Foucher_etal._1990","R24-035526"
"-58.7031","15.5311","47","HF8D","Foucher_etal._1990","R24-035527"
"-58.702","15.5313","39","HF4A","Foucher_etal._1990","R24-035503"
"-58.701","15.5313","62","HF4B","Foucher_etal._1990","R24-035504"
"-58.7035","15.5314","83","HF7A","Foucher_etal._1990","R24-035515"
"-58.71","15.5317","73","HF1C","Blackwell_Richards_2004","R24-018883"
"-58.71","15.5317","77","HF1D","Blackwell_Richards_2004","R24-018884"
"-58.7003","15.5317","72","HF4C","Foucher_etal._1990","R24-035505"
"-58.7","15.5317","39","HF4A","Blackwell_Richards_2004","R24-018906"
"-58.7","15.5317","60","HF7C","Blackwell_Richards_2004","R24-018935"
"-58.7","15.5317","84","HF7B","Blackwell_Richards_2004","R24-018934"
"-58.7","15.5317","113","HF8C","Blackwell_Richards_2004","R24-018950"
"-58.7","15.5317","47","HF8D","Blackwell_Richards_2004","R24-018951"
"-58.7","15.5317","72","HF4C","Blackwell_Richards_2004","R24-018908"
"-58.7","15.5317","61","HF4D","Blackwell_Richards_2004","R24-018909"
"-58.7","15.5317","62","HF4B","Blackwell_Richards_2004","R24-018907"
"-58.7","15.5317","85","HF4E","Blackwell_Richards_2004","R24-018910"
"-58.7023","15.5318","84","HF7B","Foucher_etal._1990","R24-035516"
"-58.7013","15.5321","60","HF7C","Foucher_etal._1990","R24-035517"
"-58.7001","15.5325","66","HF7E","Foucher_etal._1990","R24-035518"
"-58.7046","15.5328","97","HF1G","Foucher_etal._1990","R24-035490"
"-58.7031","15.5329","88","HF3A","Foucher_etal._1990","R24-035497"
"-58.7022","15.5329","67","HF3D","Foucher_etal._1990","R24-035500"
"-58.7025","15.5331","65","HF3B","Foucher_etal._1990","R24-035498"
"-58.7023","15.5331","64","HF3C","Foucher_etal._1990","R24-035499"
"-58.71","15.5333","91","HF1E","Blackwell_Richards_2004","R24-018885"
"-58.7032","15.5333","80","HF1H","Foucher_etal._1990","R24-035491"
"-58.7","15.5333","80","HF1H","Blackwell_Richards_2004","R24-018887"
"-58.7","15.5333","84","HF7I","Blackwell_Richards_2004","R24-018939"
"-58.7","15.5333","47","HF1I","Blackwell_Richards_2004","R24-018888"
"-58.7","15.5333","88","HF3A","Blackwell_Richards_2004","R24-018899"
"-58.7","15.5333","65","HF3B","Blackwell_Richards_2004","R24-018900"
"-58.7","15.5333","64","HF3C","Blackwell_Richards_2004","R24-018901"
"-58.7","15.5333","67","HF3D","Blackwell_Richards_2004","R24-018902"
"-58.7","15.5333","57","HF3F","Blackwell_Richards_2004","R24-018903"
"-58.7","15.5333","45","HF3J","Blackwell_Richards_2004","R24-018904"
"-58.7","15.5333","66","HF7E","Blackwell_Richards_2004","R24-018936"
"-58.7","15.5333","63","HF7F","Blackwell_Richards_2004","R24-018937"
"-58.7","15.5333","92","HF7G","Blackwell_Richards_2004","R24-018938"
"-58.7","15.5333","60","HF7P","Blackwell_Richards_2004","R24-018946"
"-58.7","15.5333","78","HF7J","Blackwell_Richards_2004","R24-018940"
"-58.7","15.5333","75","HF7Q","Blackwell_Richards_2004","R24-018947"
"-58.7","15.5333","87","HF7T","Blackwell_Richards_2004","R24-018948"
"-58.7","15.5333","97","HF1G","Blackwell_Richards_2004","R24-018886"
"-58.6976","15.5333","88","HF7R","Foucher_etal._1990","R24-035524"
"-30.0333","15.5333","56","V19-176","Langseth_etal._1966","R24-053065"
"-30.0333","15.5333","56","V19-176","Ludwig_Rabinowitz_1975","R24-060580"
"-58.702","15.5334","47","HF1I","Foucher_etal._1990","R24-035492"
"-58.6974","15.5334","64","HF7H","Foucher_etal._1990","R24-035519"
"-58.7011","15.5335","65","HF3E","Foucher_etal._1990","R24-035501"
"-58.7004","15.5338","57","HF3F","Foucher_etal._1990","R24-035502"
"-58.6997","15.534","80","HF1K","Foucher_etal._1990","R24-035493"
"-58.6916","15.5348","75","HF7N","Foucher_etal._1990","R24-035522"
"-58.6904","15.5348","65","HF7O","Foucher_etal._1990","R24-035523"
"-58.7","15.535","83","HF1L","Blackwell_Richards_2004","R24-018889"
"-58.7","15.535","64","HF7K","Blackwell_Richards_2004","R24-018941"
"-58.69","15.535","76","HF7M","Blackwell_Richards_2004","R24-018943"
"-58.69","15.535","65","HF7O","Blackwell_Richards_2004","R24-018945"
"-58.69","15.535","75","HF7N","Blackwell_Richards_2004","R24-018944"
"-58.6923","15.5354","76","HF7M","Foucher_etal._1990","R24-035521"
"-58.85","15.5383","53","ODP674 A","Pribnow_etal._2000a","R24-073274"
"-58.71","15.5383","89","ODP949 B","Pribnow_etal._2000a","R24-073369"
"-58.64","15.5383","99","ODP672 A","Pribnow_etal._2000a","R24-073272"
"-59.2257","15.5544","42.2","ANTI-05-05","Lucazeau_etal._2014","R24-060505"
"-59.1022","15.5979","45.4","ANTI-05-06","Lucazeau_etal._2014","R24-060506"
"-58.9931","15.6318","56.9","ANTI-05-03","Lucazeau_etal._2014","R24-060503"
"-58.9668","15.6359","48.1","ANTI-05-04","Lucazeau_etal._2014","R24-060504"
"-58.8958","15.671","66.6","ANTI-05-02","Lucazeau_etal._2014","R24-060502"
"-58.8524","15.6882","63.5","ANTI-05-01","Lucazeau_etal._2014","R24-060501"
"-58.6814","15.7299","77.6","ANTI-C04-10","Lucazeau_etal._2014","R24-060520"
"-58.303","15.8422","63.1","ANTI-04-05","Lucazeau_etal._2014","R24-060498"
"-58.4832","15.9404","119.9","ANTI-04-06","Lucazeau_etal._2014","R24-060499"
"-57.75","15.98","57.3619","Chain-75-44","Arnaiz-Rodriguez_Orihuela_2013","R24-003553"
"-57.75","15.98","57.3619","Chain-75-44","Birch_1970","R24-005264"
"-57.75","15.98","57.3619","Chain-75-44","Schoonmaker_Ladd_1984","R24-077917"
"-57.9488","16.0729","55.6","ANTI-C04-04","Lucazeau_etal._2014","R24-060518"
"-23.5817","16.2067","52.3","CVB-6","Courtney_White_1986","R24-025570"
"-23.5817","16.2067","51.5","CVB-5","Courtney_White_1986","R24-025569"
"-23.585","16.2283","47.6","CVB-1","Courtney_White_1986","R24-025565"
"-23.58","16.24","53.9","CVRISEB","Courtney_White_1986","R24-025681"
"-23.5883","16.245","59","CVB-4","Courtney_White_1986","R24-025568"
"-23.5883","16.2467","45","CVB-3","Courtney_White_1986","R24-025567"
"-23.5933","16.2483","52.3","CVB-2","Courtney_White_1986","R24-025566"
"-58.6167","16.3","46","CH-36-10","Schoonmaker_Ladd_1984","R24-077912"
"-58.6167","16.3","46","CH-36-10","Arnaiz-Rodriguez_Orihuela_2013","R24-003549"
"-58.6167","16.3","46","CH-36-10","Birch_1970","R24-005262"
"-58.6167","16.3","46","CH-36-10","Birch_1964","R24-005246"
"-58.6167","16.3","46","CH-36-10","Birch_1964","R24-005247"
"-59.1617","16.3633","56","GS7304-009","Schoonmaker_Ladd_1984","R24-077923"
