lon,lat,chron,anomaly_end,quality,age_Ma,reference,doi,method,source
-47.0477,15.7503,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.88879999999998,15.753000000000002,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.7422,15.755200000000002,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.58049999999999,15.7578,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.418800000000005,15.7604,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.212899999999976,15.763700000000002,C3n.1n,y,1,4.18,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.2032,15.7638,C3n.1n,y,1,4.18,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.095399999999984,15.765500000000001,C3n.4n,o,1,5.23,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-51.6918,15.7664,C20n,o,1,43.789,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.4823,15.768800000000002,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.2114,15.7743,C3n.1n,y,1,4.18,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.10479999999998,15.7805,C3n.4n,o,1,5.23,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-44.23,15.782,C5Dn,y,1,17.277,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.4232,15.785,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-44.6871,15.785099999999996,C5ADn,o,1,14.612,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-44.2122,15.7871,C5Dn,y,1,17.277,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-44.057100000000005,15.7885,C5En,y,1,18.281,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.583,15.7903,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-43.70810000000001,15.7918,C6n,o,1,20.131,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.0256,15.7943,C3An.1n,y,1,5.894,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-44.1074,15.7994,C5En,y,1,18.281,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.75509999999998,15.7996,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.874299999999984,15.8,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.485699999999994,15.8139,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.0781,15.8166,C3n.4n,o,1,5.23,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.08209999999998,15.8176,C3n.4n,o,1,5.23,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.77669999999999,15.818400000000002,C4n.1n,y,1,7.432,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-47.230499999999985,15.8204,C3n.1n,y,1,4.18,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
